name,region,year,population,Deaths,income,lifeExpectancy
East of England,Neoplasms,2000,3575.221092,158.1414082,171.6932185,3403.527892
East of England,other conditions,2000,15588.13524,192.6127522,11052.4768,4535.659632
East of England,Cardiovascular diseases,2001,3423.645885,198.6066441,290.6481773,3132.997739
East of England,Neoplasms,2001,3525.358023,156.0743305,172.8522996,3352.505742
East of England,other conditions,2001,15532.26405,188.4069665,11054.21944,4478.045804
East of England,Cardiovascular diseases,2002,3314.453264,193.3471855,284.6199559,3029.833339
East of England,Neoplasms,2002,3497.067229,155.5935124,174.5958455,3322.471402
East of England,other conditions,2002,15496.41178,187.8051698,11056.1692,4440.243776
East of England,Cardiovascular diseases,2003,3191.646999,186.7865792,278.0555256,2913.591503
East of England,Neoplasms,2003,3467.492932,154.5539741,176.6455256,3290.847425
East of England,other conditions,2003,15481.75015,187.1891425,11062.79204,4418.959299
East of England,Cardiovascular diseases,2004,2997.162262,174.7738335,272.1444045,2725.017887
East of England,Neoplasms,2004,3379.08039,150.9190109,174.8723338,3204.208075
East of England,other conditions,2004,15351.93166,181.6810912,11062.51706,4289.415794
East of England,Cardiovascular diseases,2005,2865.668961,166.8312513,267.9471928,2597.721798
East of England,Neoplasms,2005,3334.543099,149.2794123,175.3536273,3159.18949
East of England,other conditions,2005,15322.00554,180.5725347,11061.11459,4260.892151
East of England,Cardiovascular diseases,2006,2704.860513,156.4880184,265.2416764,2439.618866
East of England,Neoplasms,2006,3259.108981,146.2463585,174.6332437,3084.475757
East of England,other conditions,2006,15228.17176,176.663177,11042.28196,4185.890989
East of England,Cardiovascular diseases,2007,2602.961668,149.7092432,263.0937411,2339.867956
East of England,Neoplasms,2007,3251.806877,146.0786169,175.3215506,3076.485345
East of England,other conditions,2007,15171.36918,175.2626039,11002.45473,4168.915631
East of England,Cardiovascular diseases,2008,2521.326304,144.4436257,261.4090633,2259.917269
East of England,Neoplasms,2008,3246.035442,145.8374682,177.8255943,3068.209867
East of England,other conditions,2008,15100.14199,174.4120902,10954.60553,4145.537635
East of England,Cardiovascular diseases,2009,2396.583468,136.660374,260.310031,2136.273465
East of England,Neoplasms,2009,3175.6964,143.1282093,176.3139603,2999.382459
East of England,other conditions,2009,14945.90743,170.3706181,10916.1463,4029.762306
East of England,Cardiovascular diseases,2010,2321.361727,132.402034,259.6206929,2061.741062
East of England,Neoplasms,2010,3132.185436,141.8996353,175.9309338,2956.254521
East of England,other conditions,2010,14834.11796,168.6485578,10901.43236,3932.686775
East of England,Cardiovascular diseases,2011,2210.587382,126.9358332,259.2618815,1951.325528
East of England,Neoplasms,2011,3066.212901,140.3403995,173.4394828,2892.773437
East of England,other conditions,2011,14725.79059,166.2487641,10904.55029,3821.241477
East of England,Cardiovascular diseases,2012,2157.766935,125.2029384,259.0541825,1898.71278
East of England,Neoplasms,2012,3049.239697,140.6604599,172.68981,2876.549906
East of England,other conditions,2012,14666.82511,166.9386129,10909.35723,3757.469061
